instance_id,state_x,state_y,h_star,mu,sigma,error,abs_error,rel_error,grid_size
1,31,31,0.0,0.42398732900619507,0.12951714994024338,0.42398732900619507,0.42398732900619507,423987.32900619507,32
1,30,31,1.0,1.2950330972671509,0.13254399580797693,0.2950330972671509,0.2950330972671509,0.2950328022343487,32
1,31,30,1.0,1.0554713010787964,0.15281635953336972,0.05547130107879639,0.05547130107879639,0.05547124560755078,32
1,30,30,2.0,1.9927724599838257,0.13754244709616678,-0.007227540016174316,0.007227540016174316,-0.0036137682012030575,32
1,31,29,2.0,2.139939069747925,0.19732835110223787,0.1399390697479248,0.1399390697479248,0.06996949988921246,32
1,29,30,3.0,2.9950110912323,0.12549031253762247,-0.004988908767700195,0.004988908767700195,-0.0016629690349103867,32
1,30,29,3.0,3.024362564086914,0.18068472188017815,0.024362564086914062,0.024362564086914062,0.008120851988687358,32
1,31,28,3.0,3.2546350955963135,0.2806036024468114,0.2546350955963135,0.2546350955963135,0.08487833690599218,32
1,28,30,4.0,3.9966490268707275,0.12639158899372155,-0.003350973129272461,0.003350973129272461,-0.000837743072882347,32
1,30,28,4.0,4.07365608215332,0.2575224941655819,0.07365608215332031,0.07365608215332031,0.018414015934826094,32
1,31,27,4.0,4.379340171813965,0.4074393671495445,0.37934017181396484,0.37934017181396484,0.09483501924473639,32
1,27,30,5.0,5.003542900085449,0.13047636783105265,0.0035429000854492188,0.0035429000854492188,0.0007085798753738686,32
1,28,31,5.0,3.216693639755249,0.1287968319800922,-1.783306360244751,1.783306360244751,-0.35666120071671004,32
1,28,29,5.0,5.008726596832275,0.1485909165789199,0.00872659683227539,0.00872659683227539,0.0017453190173912746,32
1,29,28,5.0,5.043338298797607,0.22072882020904427,0.04333829879760742,0.04333829879760742,0.008667658025989879,32
1,30,27,5.0,5.150940418243408,0.3990575591970732,0.1509404182434082,0.1509404182434082,0.03018807761106612,32
1,31,26,5.0,5.506129264831543,0.6066127846411568,0.506129264831543,0.506129264831543,0.10122583272114205,32
1,27,31,6.0,4.1810383796691895,0.13767067700245164,-1.8189616203308105,1.8189616203308105,-0.3031602195284318,32
1,27,29,6.0,6.0113301277160645,0.14835029769885516,0.011330127716064453,0.011330127716064453,0.001888354304618358,32
1,28,28,6.0,6.0222907066345215,0.19700657876577068,0.022290706634521484,0.022290706634521484,0.003715117153234055,32
1,29,27,6.0,6.103648662567139,0.35404267342017437,0.10364866256713867,0.10364866256713867,0.017274774215394077,32
1,30,26,6.0,6.231523036956787,0.6223911967588317,0.2315230369567871,0.2315230369567871,0.038587166394936784,32
1,31,25,6.0,6.561018943786621,0.8711112728382779,0.5610189437866211,0.5610189437866211,0.09350314171391323,32
1,26,29,7.0,7.003721714019775,0.14535985500238036,0.0037217140197753906,0.0037217140197753906,0.0005316733554431479,32
1,27,28,7.0,7.0062761306762695,0.1762167981077805,0.006276130676269531,0.006276130676269531,0.0008965899685256518,32
1,28,27,7.0,7.06021785736084,0.30255281546709417,0.060217857360839844,0.060217857360839844,0.00860254982261286,32
1,29,26,7.0,7.160634517669678,0.582416862772358,0.16063451766967773,0.16063451766967773,0.022947784960270397,32
1,30,25,7.0,7.285119533538818,0.9646912530775326,0.28511953353881836,0.28511953353881836,0.040731356115351745,32
1,31,24,7.0,7.605858325958252,1.2517478560456357,0.605858325958252,0.605858325958252,0.08655117705815356,32
1,25,29,8.0,7.986919403076172,0.1433339470372913,-0.013080596923828125,0.013080596923828125,-0.0016350744110942145,32
1,26,28,8.0,7.992603778839111,0.17386812076467925,-0.007396221160888672,0.007396221160888672,-0.0009245275295451428,32
1,27,27,8.0,8.013830184936523,0.262034606525737,0.013830184936523438,0.013830184936523438,0.0017287729009688173,32
1,29,25,8.0,8.230032920837402,0.9209492536174986,0.23003292083740234,0.23003292083740234,0.028754111510411358,32
1,30,24,8.0,8.31576156616211,1.420055686775812,0.3157615661621094,0.3157615661621094,0.039470190836489824,32
1,31,23,8.0,8.648298263549805,1.7276207641133687,0.6482982635498047,0.6482982635498047,0.08103727281406649,32
1,24,29,9.0,8.970118522644043,0.14133620714272546,-0.02988147735595703,0.02988147735595703,-0.003320163781754806,32
